word,count
brasil,454
montagem,329
povo,324
país,274
estado,237
impeachment,234
contra,195
democracia,177
manifestação,167
dilma,162
brasileiro,160
bornier,141
partido,141
respeito,138
golpe,137
família,128
casa,120
governo,120
processo,111
constituição,110
responsabilidade,104
momento,103
brasileiros,102
federal,92
crime,91
grande,86
corrupção,85
república,80
deus,76
defesa,74
ruas,73
brasileira,72
futuro,67
esperança,67
política,66
primeiro,66
milhões,66
homenagem,66
filho,65
sul,61
carlos,60
cidade,59
filhos,59
nação,58
história,57
vida,54
será,51
anos,50
temos,50
tempo,49
